ValuationDate,SecurityId,SecurityName,AssetClass,NetQuantity,WeightedAvgCost,RealizedPnL,UnrealizedPnL,TotalPnL,ClosePrice
02/02/2026,BD01,"Government of India 7.26% GS 2033","Bond",38,1005.1939,0.0000,106.6300,106.6300,1008.0000
02/02/2026,BD02,"HDFC Ltd 8.10% NCD 2028","Bond",0,0.0000,0.0000,0.0000,0.0000,1032.0000
02/02/2026,BD03,"Tata Capital 7.85% NCD 2029","Bond",0,0.0000,0.0000,0.0000,0.0000,1018.0000
02/02/2026,EQ01,"Bluechip Bank Ltd","Equity",0,0.0000,0.0000,0.0000,0.0000,640.0000
02/02/2026,EQ02,"Prime Energy Corp","Equity",99,418.7400,0.0000,619.7400,619.7400,425.0000
02/02/2026,EQ03,"TechNova Systems Ltd","Equity",87,1475.4300,0.0000,1267.5900,1267.5900,1490.0000
02/02/2026,EQ04,"Consumer Foods Ltd","Equity",0,0.0000,0.0000,0.0000,0.0000,1005.0000
02/02/2026,EQ05,"Metro Pharma Ltd","Equity",57,753.4600,0.0000,372.7800,372.7800,760.0000
02/02/2026,ET01,"Nifty 50 ETF","ETF",359,230.8200,0.0000,423.6200,423.6200,232.0000
02/02/2026,ET02,"Gold ETF","ETF",160,60.3500,0.0000,-56.0000,-56.0000,60.0000
02/02/2026,ET03,"Banking Sector ETF","ETF",0,0.0000,0.0000,0.0000,0.0000,452.0000
02/03/2026,BD01,"Government of India 7.26% GS 2033","Bond",25,1005.1939,132.2887,85.4013,217.6900,1008.6100
02/03/2026,BD02,"HDFC Ltd 8.10% NCD 2028","Bond",0,0.0000,0.0000,0.0000,0.0000,1035.2800
02/03/2026,BD03,"Tata Capital 7.85% NCD 2029","Bond",13,1008.3800,0.0000,149.3700,149.3700,1019.8700
02/03/2026,EQ01,"Bluechip Bank Ltd","Equity",0,0.0000,0.0000,0.0000,0.0000,642.6800
02/03/2026,EQ02,"Prime Energy Corp","Equity",53,418.7400,-35.4200,-26.5000,-61.9200,418.2400
02/03/2026,EQ03,"TechNova Systems Ltd","Equity",87,1475.4300,0.0000,3327.7500,3327.7500,1513.6800
02/03/2026,EQ04,"Consumer Foods Ltd","Equity",0,0.0000,0.0000,0.0000,0.0000,1009.5100
02/03/2026,EQ05,"Metro Pharma Ltd","Equity",298,760.8168,6.6500,-2570.7800,-2564.1300,752.1900
02/03/2026,ET01,"Nifty 50 ETF","ETF",359,230.8200,0.0000,1015.9700,1015.9700,233.6500
02/03/2026,ET02,"Gold ETF","ETF",108,60.3500,-33.8000,-110.1600,-143.9600,59.3300
02/03/2026,ET03,"Banking Sector ETF","ETF",0,0.0000,0.0000,0.0000,0.0000,458.8300
02/04/2026,BD01,"Government of India 7.26% GS 2033","Bond",25,1005.1939,132.2887,-74.5987,57.6900,1002.2100
02/04/2026,BD02,"HDFC Ltd 8.10% NCD 2028","Bond",25,1029.7200,0.0000,154.2500,154.2500,1035.8900
02/04/2026,BD03,"Tata Capital 7.85% NCD 2029","Bond",13,1008.3800,0.0000,111.8000,111.8000,1016.9800
02/04/2026,EQ01,"Bluechip Bank Ltd","Equity",0,0.0000,0.0000,0.0000,0.0000,649.8700
02/04/2026,EQ02,"Prime Energy Corp","Equity",53,418.7400,-35.4200,-73.1400,-108.5600,417.3600
02/04/2026,EQ03,"TechNova Systems Ltd","Equity",87,1475.4300,0.0000,3724.4700,3724.4700,1518.2400
02/04/2026,EQ04,"Consumer Foods Ltd","Equity",179,992.9900,0.0000,55.4900,55.4900,993.3000
02/04/2026,EQ05,"Metro Pharma Ltd","Equity",298,760.8168,6.6500,-171.8800,-165.2300,760.2400
02/04/2026,ET01,"Nifty 50 ETF","ETF",562,236.6028,1251.6000,1122.4000,2374.0000,238.6000
02/04/2026,ET02,"Gold ETF","ETF",400,58.6546,-96.9800,22.1600,-74.8200,58.7100
02/04/2026,ET03,"Banking Sector ETF","ETF",0,0.0000,0.0000,0.0000,0.0000,455.7400
02/05/2026,BD01,"Government of India 7.26% GS 2033","Bond",10,1005.1939,159.9795,-0.2395,159.7400,1005.1700
02/05/2026,BD02,"HDFC Ltd 8.10% NCD 2028","Bond",74,1036.6149,0.0000,303.0400,303.0400,1040.7100
02/05/2026,BD03,"Tata Capital 7.85% NCD 2029","Bond",13,1008.3800,0.0000,84.7600,84.7600,1014.9000
02/05/2026,EQ01,"Bluechip Bank Ltd","Equity",567,638.7014,0.0000,3134.7000,3134.7000,644.2300
02/05/2026,EQ02,"Prime Energy Corp","Equity",50,418.7400,-24.0200,129.5000,105.4800,421.3300
02/05/2026,EQ03,"TechNova Systems Ltd","Equity",359,1527.1555,0.0000,6384.6500,6384.6500,1544.9400
02/05/2026,EQ04,"Consumer Foods Ltd","Equity",179,992.9900,0.0000,-3057.3200,-3057.3200,975.9100
02/05/2026,EQ05,"Metro Pharma Ltd","Equity",298,760.8168,6.6500,9456.5000,9463.1500,792.5500
02/05/2026,ET01,"Nifty 50 ETF","ETF",562,236.6028,1251.6000,802.0600,2053.6600,238.0300
02/05/2026,ET02,"Gold ETF","ETF",400,58.6546,-96.9800,-93.8400,-190.8200,58.4200
02/05/2026,ET03,"Banking Sector ETF","ETF",0,0.0000,0.0000,0.0000,0.0000,457.0400
02/06/2026,BD01,"Government of India 7.26% GS 2033","Bond",10,1005.1939,159.9795,-16.3395,143.6400,1003.5600
02/06/2026,BD02,"HDFC Ltd 8.10% NCD 2028","Bond",74,1036.6149,0.0000,214.2400,214.2400,1039.5100
02/06/2026,BD03,"Tata Capital 7.85% NCD 2029","Bond",105,1015.0942,0.0000,-362.6900,-362.6900,1011.6400
02/06/2026,EQ01,"Bluechip Bank Ltd","Equity",562,638.7014,49.2929,5686.6371,5735.9300,648.8200
02/06/2026,EQ02,"Prime Energy Corp","Equity",50,418.7400,-24.0200,416.0000,391.9800,427.0600
02/06/2026,EQ03,"TechNova Systems Ltd","Equity",159,1527.1555,974.9081,88.1719,1063.0800,1527.7100
02/06/2026,EQ04,"Consumer Foods Ltd","Equity",712,993.5175,0.0000,-3252.0700,-3252.0700,988.9500
02/06/2026,EQ05,"Metro Pharma Ltd","Equity",142,760.8168,3611.4326,3730.7974,7342.2300,787.0900
02/06/2026,ET01,"Nifty 50 ETF","ETF",562,236.6028,1251.6000,3314.2000,4565.8000,242.5000
02/06/2026,ET02,"Gold ETF","ETF",400,58.6546,-96.9800,-257.8400,-354.8200,58.0100
