ValuationDate,SecurityId,SecurityName,AssetClass,NetQuantity,WeightedAvgCost,RealizedPnL,UnrealizedPnL,TotalPnL,ClosePrice
03/31/2026,BD01,"Government of India 7.26% GS 2033","Bond",52,1000.7332,96.2450,225.5136,321.7586,1005.0700
03/31/2026,BD02,"HDFC Ltd 8.10% NCD 2028","Bond",130,1041.2538,167.9116,893.9060,1061.8176,1048.1300
03/31/2026,BD03,"Tata Capital 7.85% NCD 2029","Bond",162,1027.2207,2893.0170,688.3865,3581.4035,1031.4700
03/31/2026,EQ01,"Bluechip Bank Ltd","Equity",497,559.4871,-48316.0534,-5127.6069,-53443.6603,549.1700
03/31/2026,EQ02,"Prime Energy Corp","Equity",388,468.0903,16115.5823,6902.4036,23017.9859,485.8800
03/31/2026,EQ03,"TechNova Systems Ltd","Equity",789,1462.7612,-18867.4728,12646.7232,-6220.7496,1478.7900
03/31/2026,EQ04,"Consumer Foods Ltd","Equity",833,1029.9783,16722.1406,80835.7361,97557.8767,1127.0200
03/31/2026,EQ05,"Metro Pharma Ltd","Equity",926,732.3875,-12851.5901,-25860.8584,-38712.4485,704.4600
03/31/2026,ET01,"Nifty 50 ETF","ETF",2095,227.5622,-7410.8297,-12197.5090,-19608.3387,221.7400
03/31/2026,ET02,"Gold ETF","ETF",1429,53.2621,338.1483,-3432.6009,-3094.4526,50.8600
03/31/2026,ET03,"Banking Sector ETF","ETF",737,477.9070,22446.9803,-3041.5647,19405.4156,473.7800
